,Unnamed: 0,functionality,case_id,test_case,label_gold,target_ident,direction,focus_words,focus_lemma,ref_case_id,ref_templ_id,templ_id,case_templ,context,cluster,women,trans people,gay people,black people,disabled people,Muslims,immigrants,twitter-roberta-base-hate-latest
0,0,derog_neg_emote_h,1,I hate women. ,hateful,women,general,hate,hate,,,1,I hate [IDENTITY_P].,I hate women. ,0,True,False,False,False,False,False,False,hateful
1,1,derog_neg_emote_h,2,I hate trans people. ,hateful,trans people,general,hate,hate,,,1,I hate [IDENTITY_P].,I hate trans people. ,6,False,True,False,False,False,False,False,hateful
2,2,derog_neg_emote_h,3,I hate gay people. ,hateful,gay people,general,hate,hate,,,1,I hate [IDENTITY_P].,I hate gay people. ,3,False,False,True,False,False,False,False,hateful
3,3,derog_neg_emote_h,4,I hate black people. ,hateful,black people,general,hate,hate,,,1,I hate [IDENTITY_P].,I hate black people. ,4,False,False,False,True,False,False,False,hateful
4,4,derog_neg_emote_h,5,I hate disabled people. ,hateful,disabled people,general,hate,hate,,,1,I hate [IDENTITY_P].,I hate disabled people. ,2,False,False,False,False,True,False,False,hateful
5,5,derog_neg_emote_h,6,I hate Muslims. ,hateful,Muslims,general,hate,hate,,,1,I hate [IDENTITY_P].,I hate Muslims. ,1,False,False,False,False,False,True,False,hateful
6,6,derog_neg_emote_h,7,I hate immigrants. ,hateful,immigrants,general,hate,hate,,,1,I hate [IDENTITY_P].,I hate immigrants. ,5,False,False,False,False,False,False,True,hateful
7,7,derog_neg_emote_h,8,I really can't stand women like you. ,hateful,women,directed,can't stand,can't stand,,,2,I really can't stand [IDENTITY_P] like you.,I really can't stand women like you. ,0,True,False,False,False,False,False,False,hateful
8,8,derog_neg_emote_h,9,I really can't stand trans people like you. ,hateful,trans people,directed,can't stand,can't stand,,,2,I really can't stand [IDENTITY_P] like you.,I really can't stand trans people like you. ,6,False,True,False,False,False,False,False,hateful
9,9,derog_neg_emote_h,10,I really can't stand gay people like you. ,hateful,gay people,directed,can't stand,can't stand,,,2,I really can't stand [IDENTITY_P] like you.,I really can't stand gay people like you. ,3,False,False,True,False,False,False,False,hateful
10,10,derog_neg_emote_h,11,I really can't stand black people like you. ,hateful,black people,directed,can't stand,can't stand,,,2,I really can't stand [IDENTITY_P] like you.,I really can't stand black people like you. ,4,False,False,False,True,False,False,False,hateful
11,11,derog_neg_emote_h,12,I really can't stand disabled people like you. ,hateful,disabled people,directed,can't stand,can't stand,,,2,I really can't stand [IDENTITY_P] like you.,I really can't stand disabled people like you. ,2,False,False,False,False,True,False,False,non-hateful
12,12,derog_neg_emote_h,13,I really can't stand Muslims like you. ,hateful,Muslims,directed,can't stand,can't stand,,,2,I really can't stand [IDENTITY_P] like you.,I really can't stand Muslims like you. ,1,False,False,False,False,False,True,False,hateful
13,13,derog_neg_emote_h,14,I really can't stand immigrants like you. ,hateful,immigrants,directed,can't stand,can't stand,,,2,I really can't stand [IDENTITY_P] like you.,I really can't stand immigrants like you. ,5,False,False,False,False,False,False,True,hateful
14,14,derog_neg_emote_h,15,I despise women. ,hateful,women,general,despise,despise,,,3,I despise [IDENTITY_P].,I despise women. ,0,True,False,False,False,False,False,False,hateful
